Date,AAPL,MSFT,GOOGL
2020-01-02,73.2490234375,155.09365844726562,68.43399810791016
2020-01-03,72.53690338134766,153.16250610351562,68.07599639892578
2020-01-06,73.11487579345703,153.55838012695312,69.8905029296875
2020-01-07,72.77100372314453,152.15826416015625,69.75550079345703
2020-01-08,73.94163513183594,154.5819091796875,70.25199890136719
2020-01-09,75.51221466064453,156.5131072998047,70.989501953125
2020-01-10,75.68294525146484,155.78890991210938,71.447998046875
2020-01-13,77.29985046386719,157.66213989257812,72.00150299072266
2020-01-14,76.25604248046875,156.55174255371094,71.52950286865234
2020-01-15,75.92925262451172,157.56556701660156,71.95999908447266
2020-01-16,76.88037109375,160.4527130126953,72.50800323486328
2020-01-17,77.73151397705078,161.35072326660156,73.97599792480469
2020-01-21,77.20472717285156,160.77134704589844,74.11250305175781
2020-01-22,77.4803237915039,159.99887084960938,74.19349670410156
2020-01-23,77.85346221923828,160.98379516601562,74.2344970703125
2020-01-24,77.62908935546875,159.3616180419922,73.30850219726562
2020-01-27,75.34638214111328,156.69656372070312,71.58650207519531
2020-01-28,77.47789001464844,159.7671661376953,72.5250015258789
2020-01-29,79.09967803955078,162.25836181640625,72.83499908447266
2020-01-30,78.98506164550781,166.8352813720703,72.7125015258789
2020-01-31,75.48296356201172,164.37301635742188,71.63899993896484
2020-02-03,75.27565002441406,168.38023376464844,74.12999725341797
2020-02-04,77.76079559326172,173.9227294921875,72.27050018310547
2020-02-05,78.39486694335938,173.71029663085938,72.30249786376953
2020-02-06,79.31184387207031,177.31198120117188,73.79850006103516
2020-02-07,78.2337875366211,177.56304931640625,73.95549774169922
2020-02-10,78.60537719726562,182.20758056640625,75.43299865722656
2020-02-11,78.13111877441406,178.09413146972656,75.50299835205078
2020-02-12,79.98656463623047,178.35482788085938,75.93150329589844
2020-02-13,79.41696166992188,177.38925170898438,75.66950225830078
2020-02-14,79.4365234375,178.97280883789062,75.9365005493164
2020-02-18,77.98199462890625,180.7881317138672,75.97200012207031
2020-02-19,79.11137390136719,181.33035278320312,76.24349975585938
2020-02-20,78.29979705810547,178.5612030029297,75.84950256347656
2020-02-21,76.5274887084961,172.91639709472656,74.1729965209961
2020-02-24,72.89241027832031,165.4609832763672,70.99299621582031
2020-02-25,70.42337036132812,162.73065185546875,69.31600189208984
2020-02-26,71.54053497314453,164.763916015625,69.52349853515625
2020-02-27,66.86406707763672,153.15481567382812,65.74749755859375
2020-02-28,66.82494354248047,156.86312866210938,66.9625015258789
2020-03-02,73.04639434814453,167.30067443847656,69.31600189208984
2020-03-03,70.72650146484375,159.28370666503906,66.88600158691406
2020-03-04,74.00712585449219,165.1318359375,69.08000183105469
2020-03-05,71.60655212402344,160.98780822753906,65.73799896240234
2020-03-06,70.6556167602539,156.43711853027344,64.78700256347656
2020-03-09,65.06729125976562,145.83497619628906,60.78950119018555
2020-03-10,69.7535400390625,155.8077392578125,63.75849914550781
2020-03-11,67.33097076416016,148.7493438720703,60.54499816894531
2020-03-12,60.681732177734375,134.64222717285156,55.57749938964844
2020-03-13,67.951904296875,153.78419494628906,60.7135009765625
2020-03-16,59.210086822509766,131.11785888671875,53.650001525878906
2020-03-17,61.813568115234375,141.91366577148438,55.90299987792969
2020-03-18,60.30036926269531,135.9396514892578,54.55950164794922
2020-03-19,59.838340759277344,138.17630004882812,55.58349990844727
2020-03-20,56.03948211669922,132.986572265625,53.41049957275391
2020-03-23,54.848968505859375,131.66009521484375,52.70650100708008
2020-03-24,60.351707458496094,143.62741088867188,56.5004997253418
2020-03-25,60.01925277709961,142.2525177001953,55.08100128173828
2020-03-26,63.17765426635742,151.15057373046875,58.14599990844727
2020-03-27,60.56194686889648,144.94418334960938,55.51300048828125
2020-03-30,62.29025650024414,155.1396484375,57.31549835205078
2020-03-31,62.16313934326172,152.69973754882812,58.09749984741211
2020-04-01,58.89229583740234,147.27764892578125,55.10499954223633
2020-04-02,59.87501907348633,150.3275909423828,55.85150146484375
2020-04-03,59.01453399658203,148.9429931640625,54.6349983215332
2020-04-06,64.16281127929688,160.0195770263672,59.15950012207031
2020-04-07,63.41965866088867,158.29612731933594,59.12799835205078
2020-04-08,65.0428466796875,159.88401794433594,60.34999847412109
2020-04-09,65.51221466064453,159.89370727539062,60.32849884033203
2020-04-13,66.79806518554688,160.251953125,60.52050018310547
2020-04-14,70.17156982421875,168.18174743652344,63.26150131225586
2020-04-15,69.53108978271484,166.4196014404297,62.8650016784668
2020-04-16,70.08356475830078,171.41563415527344,62.87149810791016
2020-04-17,69.13264465332031,172.9261016845703,63.95000076293945
2020-04-20,67.69766235351562,169.49855041503906,63.057498931884766
2020-04-21,65.60511016845703,162.4885711669922,60.608001708984375
2020-04-22,67.49475860595703,168.0074920654297,62.920501708984375
2020-04-23,67.23318481445312,165.9741973876953,63.55849838256836
2020-04-24,69.17418670654297,169.00477600097656,63.83000183105469
2020-04-27,69.22306823730469,168.52064514160156,63.542999267578125
2020-04-28,68.10102844238281,164.41534423828125,61.62950134277344
2020-04-29,70.33780670166016,171.79324340820312,67.10900115966797
2020-04-30,71.8216781616211,173.51673889160156,67.33499908447266
2020-05-01,70.6653823852539,169.02415466308594,65.86599731445312
2020-05-04,71.66521453857422,173.15846252441406,66.1449966430664
2020-05-05,72.74082946777344,175.0174560546875,67.45099639892578
2020-05-06,73.49130249023438,176.7409210205078,67.27149963378906
2020-05-07,74.25157928466797,177.76722717285156,68.46399688720703
2020-05-08,76.01889038085938,178.8129425048828,69.21700286865234
2020-05-11,77.21507263183594,180.80747985839844,70.17949676513672
